width,height,class
243.0,810.0,1. ciherang
257.0486335306998,903.1600079720093,1. ciherang
242.00826432169626,824.0297324732888,1. ciherang
247.26756762665013,839.360619757682,1. ciherang
272.04595200076034,882.145112779071,2. IR32
319.87653868328636,328.42046221269464,2. IR32
274.0894014733149,880.2505325190097,2. IR32
205.0,799.0,3. IR43
253.12645061312736,791.3949709215999,3. IR43
238.03361107205006,852.0991726319185,3. IR43
245.0,801.0,3. IR43
60.16851336039474,1000.544976500307,4. Legowo
60.63208721460939,1118.2880890003255,4. Legowo
59.508402768012516,1083.033355903686,4. Legowo